,airline_sentiment,text,processed_text,label,label_doc2vec
1469,neutral,@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you,united hi my relative flight book problem number be myyb her name be clarita jaramillo mejia thank you,0,1
13141,negative,@AmericanAir served the nastiest food Ive ever seen yesterday.Rubber chicken in slime. The ENTIRE cabin sent their food back.FAs can confirm,americanair serve the nasty food ive ever see yesterdayrubber chicken in slime the entire cabin send their food backfas can confirm,-1,0
2839,negative,"@united yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations",united yes it be partly use the delewr be use the return flight be cancel flightled due to technical glitch in operation,-1,0
7001,negative,@JetBlue Not helping since there's a bunch of us trying to get off at the same time.,jetblue not help since there a bunch of u try to get off at the same time,-1,0
2525,negative,@united Will never fly with you again! Terrible service!! Ruined our entire vacation!! #lostsuitcase #noreimbursement,unite will never fly with you again terrible service ruin our entire vacation lostsuitcase noreimbursement,-1,0
9833,negative,@USAirways @AmericanAir 2hrs Late Flightr finally taking off😂😂😂,usairways americanair hrs late flightr finally take off,-1,0
7283,positive,@JetBlue THANK YOU! I am your new big fan :),jetblue thank you i be your new big fan,1,2
4913,negative,@SouthwestAir Seriously? FOUR DELAYS? Only takes 42 minutes to get to Vegas from @flyLAXairport &amp; I have a connecting flight. #ridiculous,southwestair seriously four delay only take minute to get to vegas from flylaxairport amp i have a connecting flight ridiculous,-1,0
11920,negative,@AmericanAir still waiting for a flight... I should get my money back,americanair still wait for a flight i should get my money back,-1,0
2332,negative,@united we are sitting on the runway for 2 hours! It is ridiculous!!,unite we be sit on the runway for hour it be ridiculous,-1,0
9262,negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.,usairways whats up with flight no gate agent or plane at phx b nice customer service,-1,0
2271,negative,@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.,united flight cancel flightled to bdl and strand dullesairport wait almost hr at customer service shout out to diligent agent,-1,0
13499,neutral,"@AmericanAir Is it true, as FAs are saying, that you have no way to collect money from passengers (after door closing) who want a MCE seat?",americanair be it true a fa be say that you have no way to collect money from passenger after door closing who want a mce seat,0,1
6639,neutral,@SouthwestAir followed.,southwestair follow,0,1
13109,positive,"@AmericanAir Thanks. Having issues checking in for flight, please check our DM convo for more info.",americanair thanks have issue check in for flight please check our dm convo for more info,1,2
13996,negative,@AmericanAir what happened?? We didn't get a notification about a departure Cancelled Flightation tomorrow. Why will it take 2 hrs to talk to someone,americanair what happen we didnt get a notification about a departure cancel flightation tomorrow why will it take hr to talk to someone,-1,0
9035,positive,@USAirways thank you very much.,usairways thank you very much,1,2
4562,negative,@SouthwestAir : This is the second time in a row I haven't received text updates about flight time change. Don't offer if you won't use it,southwestair this be the second time in a row i havent receive text update about flight time change dont offer if you wont use it,-1,0
1989,negative,@united The engineer that designed the 787 door frame to extend half a foot into the plane for seat 27A should be forced to always sit here,unite the engineer that design the door frame to extend half a foot into the plane for seat a should be force to always sit here,-1,0
14428,neutral,@AmericanAir just downloaded the app for iPhone.  Notice drink coupon but nothing is displayed?  Getting ready to fly...,americanair just download the app for iphone notice drink coupon but nothing be display get ready to fly,0,1
7719,positive,@JetBlue would you say a delay is more likely? Thanks so much.,jetblue would you say a delay be more likely thanks so much,1,2
6280,positive,@SouthwestAir @love_dragonss oh my god LAUREN OH MY GOD OH MY GOD,southwestair lovedragonss oh my god lauren oh my god oh my god,1,2
9510,negative,"@USAirways I'm sure the people are working very hard, but the systems should assist with IVR prompting, offering call backs, hold wait times",usairways im sure the people be work very hard but the system should assist with ivr prompt offer call back hold wait time,-1,0
4641,negative,@SouthwestAir  Poor customer service displayed over the weekend during the storm. I was stuck on the tarmac for 2.5 hours with no answer!,southwestair poor customer service display over the weekend during the storm i be stick on the tarmac for hour with no answer,-1,0
12146,negative,@AmericanAir I'm not sure what happened to my USAirways status when the merger took place.,americanair im not sure what happen to my usairways status when the merger take place,-1,0
9197,negative,"@USAirways - No live person to speak with all day at Dividend Miles, after they wrongfully took over 65,000 miles out of my account.",usairways no live person to speak with all day at dividend mile after they wrongfully take over mile out of my account,-1,0
6589,negative,@SouthwestAir please PM me the number where I can lodge formal complaints. Thx,southwestair please pm me the number where i can lodge formal complaint thx,-1,0
8162,negative,@JetBlue - In CA for the weekend to attend a training camp; thanks for sending all my gear to FL; looks like this trip is a waste #nothappy,jetblue in ca for the weekend to attend a training camp thanks for send all my gear to fl look like this trip be a waste nothappy,-1,0
10791,negative,@USAirways have checked all day.  CHO needs added.  Please evaluate.,usairways have check all day cho need added please evaluate,-1,0
14446,negative,"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?",americanair hi you cancel flightled our flight back to the u and now wont take our call what be we suppose to do,-1,0
10580,negative,@usairways I get extended hold times due to the weather...but 2-1/2 hours on hold (and counting). HELP!!,usairways i get extend hold time due to the weatherbut hour on hold and counting help,-1,0
4904,neutral,@SouthwestAir https://t.co/OQUKSo3s2O subscribe please https://t.co/OQUKSo3s2O,southwestair subscribe please,0,1
11914,negative,@AmericanAir This doesn't address my issue. I am on hold for 30 min to speak with an agent.,americanair this doesnt address my issue i be on hold for min to speak with an agent,-1,0
14382,positive,"@AmericanAir I'm flying with your competitor today, starts with an U and ends with D. I will never make that mistake again. #americanforlife",americanair im fly with your competitor today start with an u and end with d i will never make that mistake again americanforlife,1,2
7589,positive,"@JetBlue yup we know, not your fault, just not ideal sittin for over an hour but as always your staff is great!",jetblue yup we know not your fault just not ideal sittin for over an hour but a always your staff be great,1,2
3069,negative,@United why is it so impossible to actually get a passenger AND their luggage to their final destination?,united why be it so impossible to actually get a passenger and their luggage to their final destination,-1,0
4975,negative,@SouthwestAir it was not - still don't know where skis are and cannot get a call back from bag svc at airport (left several msgs),southwestair it be not still dont know where ski be and can not get a call back from bag svc at airport leave several msg,-1,0
7558,positive,@JetBlue things happen it's ok just wish I was on the beach and not in the airport,jetblue thing happen it ok just wish i be on the beach and not in the airport,1,2
14166,negative,@AmericanAir fight got Cancelled Flighted can u help me rebook a flight?  Call center is too busy to answer calls or even put me on hold #yuck,americanair fight get cancel flight can u help me rebook a flight call center be too busy to answer call or even put me on hold yuck,-1,0
12598,neutral,@AmericanAir no not yet. Waiting to be connected to an agent,americanair no not yet wait to be connect to an agent,0,1
5903,neutral,@SouthwestAir 4467 and 152 on 2/25 and 503 and 25 on 2/26th.,southwestair and on and and on th,0,1
6471,negative,@SouthwestAir flight yesterday Cancelled Flighted. Got to airport 4am today for an on time flight w was delayed Cancelled Flighted than reinstated which caused,southwestair flight yesterday cancel flighted get to airport be today for an on time flight w be delay cancel flight than reinstate which cause,-1,0
12758,negative,"@AmericanAir would you like any additional details of my issue? Airport, flight, agent name? Or are you happy w/ this automated lip service?",americanair would you like any additional detail of my issue airport flight agent name or be you happy w this automated lip service,-1,0
4506,neutral,"@SouthwestAir quick question - i bought wifi for my phone, do I have to buy it again on my tablet? I have 9 hours left on my trip",southwestair quick question i buy wifi for my phone do i have to buy it again on my tablet i have hour leave on my trip,0,1
5646,neutral,.@SouthwestAir I will if you can see about moving up my Brother in laws graduation to the 6th.  Thanks.,southwestair i will if you can see about move up my brother in law graduation to the th thanks,0,1
3641,positive,"@united Your staff, both on deck and in the cabin on UA768 SFO -&gt; BOS were exceptional today. Please tell them well done :)",united your staff both on deck and in the cabin on ua sfo gt bos be exceptional today please tell them well do,1,2
8868,neutral,@JetBlue's new CEO Robin Hayes battles to appease passengers and Wall Street - Business In Savannah http://t.co/KKAY8XaPs1,jetblues new ceo robin hayes battle to appease passenger and wall street business in savannah,0,1
7533,negative,@JetBlue thanks for making my vacation not worth it again... Currently waiting on the runway for another hour to DEPLANE,jetblue thanks for make my vacation not worth it again currently wait on the runway for another hour to deplane,-1,0
12930,negative,@AmericanAir the worst first class boarding service I ever had.,americanair the bad first class boarding service i ever have,-1,0
10851,neutral,@USAirways Will you guys be offering no-fee changes for flights out of DCA tomorrow afternoon?,usairways will you guy be offer nofee change for flight out of dca tomorrow afternoon,0,1
12415,negative,"@AmericanAir Uwon't allow me2make changes online, force me2sit thru excess phone wait times&amp;still insist charging crazy fees. Thats service?",americanair uwont allow memake change online force mesit thru excess phone wait timesampstill insist charge crazy fee thats service,-1,0
13124,neutral,"@AmericanAir Hahaha.... ""Meanwhile in Russia....""",americanair hahaha meanwhile in russia,0,1
12673,negative,@AmericanAir thx for the apology.   A commitment to fix your broken system would be better.  Actually fixing it would be better still.,americanair thx for the apology a commitment to fix your broken system would be well actually fix it would be good still,-1,0
8170,neutral,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Digital Journal http://t.co/2Nzh3QOaZo,jetblue and the from wsj team to offer inflight access to journal digital journal,0,1
5404,negative,@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.,southwestair be on hold to rebook a flight to cmh for hrs your rebook website be crash,-1,0
8267,positive,@JetBlue keep going back and forth with being able to board and then not. But great agents in savannah!,jetblue keep go back and forth with be able to board and then not but great agent in savannah,1,2
178,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,virginamerica shame on va for make people spend money in stranded city when other airline be land at jfk who will reimburse me,-1,0
8795,negative,@JetBlue so technically I could drive to JFK now and put in. Request for tomorrow's flight?,jetblue so technically i could drive to jfk now and put in request for tomorrow flight,-1,0
5976,neutral,@SouthwestAir My DM won't go through but it is 261633561838. Please let me know if you need anything else.,southwestair my dm wont go through but it be please let me know if you need anything else,0,1
6028,negative,@SouthwestAir Is my friend lucky enough to see #DestinationDragons live on his birthday? He's been a fan for years @thirty_lives,southwestair be my friend lucky enough to see destinationdragons live on his birthday hes be a fan for year thirtylives,-1,0
7495,negative,@jetblue  Flight 1562 is still waiting for bags. Most of us checked in 12 hours ago. People are missing connections.  Please help!,jetblue flight be still wait for bag most of u check in hour ago people be miss connection please help,-1,0
1520,negative,@united didn't realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow.,united didnt realize my bag content be wet until i get to my hotel send my suitshirts out to be dry clean mtgs start tomorrow,-1,0
5818,negative,@SouthwestAir on brd now.frustrated we go 2 #BUF not #ROC.if tld flt was gng 2b held earlier would not be a mess.cng bk unable due to overbk,southwestair on brd nowfrustrated we go buf not rocif tld flt be gng b hold earlier would not be a messcng bk unable due to overbk,-1,0
2431,negative,@united I would like 2 speak @United VP of #CustExp Jimmy Samartzis! I sent a survey/email about my awful flight exp http://t.co/OtFZ7CygUQ,united i would like speak united vp of custexp jimmy samartzis i send a surveyemail about my awful flight exp,-1,0
8962,positive,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),jetblue thanks her flight leave at but shes arrive to the airport early wedding be in vt in sept grateful you fly to btv,1,2
11110,negative,@USAirways still waiting on a response,usairways still wait on a response,-1,0
2823,neutral,"@united if I had a ticket refunded which I purchased, for my brother to fly...could I then used the refunded credit for me to fly? Respond",united if i have a ticket refund which i purchase for my brother to flycould i then use the refunded credit for me to fly respond,0,1
8269,negative,@jetblue is giving me false hope of ever getting home,jetblue be give me false hope of ever get home,-1,0
1353,negative,@united you are terrible.,unite you be terrible,-1,0
